,Country,Month,Heat Wave
1907,GB,Nov-20,0
1908,GB,Dec-20,0
2125,GB,Jan-21,0
2126,GB,Feb-21,0
2127,GB,Mar-21,0
2128,GB,Apr-21,0
2129,GB,May-21,0
2130,GB,Jun-21,0
2131,GB,Jul-21,0
2132,GB,Aug-21,0
2133,GB,Sep-21,0
2134,GB,Oct-21,0
2135,GB,Nov-21,0
2136,GB,Dec-21,0
2353,GB,Jan-22,0
2354,GB,Feb-22,0
2355,GB,Mar-22,0
2356,GB,Apr-22,0
2357,GB,May-22,0
2358,GB,Jun-22,0
2359,GB,Jul-22,0
2360,GB,Aug-22,0
2361,GB,Sep-22,0
2362,GB,Oct-22,0
2363,GB,Nov-22,0
2364,GB,Dec-22,0
2581,GB,Jan-23,0
2582,GB,Feb-23,0
2583,GB,Mar-23,0
2584,GB,Apr-23,0
2585,GB,May-23,0
2586,GB,Jun-23,0
2587,GB,Jul-23,0
2588,GB,Aug-23,0
2589,GB,Sep-23,0
2590,GB,Oct-23,0
2591,GB,Nov-23,0
2592,GB,Dec-23,0
85,GM,Jan-12,0
86,GM,Feb-12,0
87,GM,Mar-12,0
88,GM,Apr-12,0
89,GM,May-12,0
90,GM,Jun-12,0
91,GM,Jul-12,0
92,GM,Aug-12,0
93,GM,Sep-12,0
94,GM,Oct-12,0
95,GM,Nov-12,0
96,GM,Dec-12,0
313,GM,Jan-13,0
314,GM,Feb-13,0
315,GM,Mar-13,0
316,GM,Apr-13,0
317,GM,May-13,0
318,GM,Jun-13,0
319,GM,Jul-13,0
320,GM,Aug-13,0
321,GM,Sep-13,0
322,GM,Oct-13,0
323,GM,Nov-13,0
324,GM,Dec-13,0
541,GM,Jan-14,0
542,GM,Feb-14,0
543,GM,Mar-14,0
544,GM,Apr-14,0
545,GM,May-14,0
546,GM,Jun-14,0
547,GM,Jul-14,0
